,titles,category,multi_category
0,은혼  기,개그,판타지 액션
1,전생했더니 슬라임이었던 건에 대하여  기,개그,이세계 판타지
2, 자막  스파이 패밀리 part  ,개그,액션 개그
3,전생했더니 슬라임이었던 건에 대하여  기  부,개그,이세계 판타지
4,지박소년 하나코 군,개그,판타지 액션
5,그 비스크 돌은 사랑을 한다,개그,로맨스
6,전생했더니 슬라임이었던 건에 대하여  기  부,개그,이세계 판타지
7,가정교사 히트맨 리본 ,개그,판타지 액션
8,암살교실  기,개그,액션 개그
9, 자막  오란고교 사교클럽,개그,개그 로맨스
10,카구야 님은 고백받고 싶어  천재들의 연애 두뇌전   기,개그,일상 개그
11,코바야시네 메이드래곤,개그,일상 개그
12, 더빙  강철의 연금술사 BROTHERHOOD,개그,판타지 액션
13,코바야시네 메이드래곤 S,개그,일상 개그
14,여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다   ,개그,이세계 판타지
15,암살교실  기,개그,액션 개그
16,카구야 님은 고백받고 싶어  천재들의 연애 두뇌전   기,개그,일상 개그
17, 더빙  오란고교 사교클럽,개그,개그 로맨스
18,슈퍼 시크릿,개그,판타지 로맨스
19,다 다 다 ,개그,일상 개그
20,원펀맨  기,개그,판타지 액션
21,아픈 건 싫으니까 방어력에 올인하려고 합니다,개그,판타지 액션
22,월간순정 노자키 군,개그,일상 개그
23,원펀맨,개그,판타지 액션
24,카구야 님은 고백받고 싶어  울트라 로맨틱 ,개그,일상 개그
25, 자막  스파이 패밀리 part  ,개그,액션 개그
26,마왕성에서 잘 자요,개그,판타지 개그
27, 더빙  원피스  기,개그,판타지 액션
28, 자막  이 멋진 세계에 축복을   기,개그,이세계 판타지
29,은혼  기,개그,판타지 액션
30,거미입니다만  문제라도 ,개그,판타지 액션
31, 더빙  짱구는 못말려   ,개그,일상 개그
32,우라미치 선생님,개그,개그
33,청의 엑소시스트,개그,판타지 액션
34,어쨌든 귀여워,개그,개그 로맨스
35,바라카몬,개그,일상 개그
36,여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다  X,개그,이세계 판타지
37,알바 뛰는 마왕님 ,개그,판타지 액션
38,선배가 짜증나는 후배이야기,개그,로맨스 개그
39, 더빙  원피스   기,개그,판타지 액션
40,건어물 여동생 우마루짱,개그,일상 개그
41,전생했더니 슬라임이었던 건에 대하여   전생슬라임 일기,개그,이세계 판타지
42,여친  빌리겠습니다  기,개그,로맨스 하렘
43,파티피플 공명,개그,음악 개그
44,나이츠 앤 매직,개그,이세계 판타지
45,은혼  기 DASH편,개그,판타지 액션
46,미이라 사육법,개그,일상 개그
47,예를 들어 라스트 던전 앞 마을의 소년이 초반 마을에서 사는 듯한 이야기,개그,판타지 액션
48,갓슈벨  ,개그,이세계 판타지
49,니세코이,개그,개그 로맨스
